#,company_name,short_description,industry,employes,location,tech_stack
21,Vulcan Forged,"Web3 gaming platform with its own blockchain, game marketplace, and play-to-earn titles. ",Gaming / Web3,80,Malaysia / Global,"[Ethereum, Solidity, Unity]"
22,BombPixel,Blockchain game company making a physics-based competitive game where players build arenas. ,Web3 Gaming,30,USA,"[Solidity, Unity]"
23,Symbios Games,Web3 game developer focused on merging blockchain ownership with traditional gameplay mechanics. ,Web3 / Gaming,45,USA,"[Ethereum, NFT, Unity]"
24,UFO Gaming,"Space-themed web3 gaming studio on Immutable X, building metaverse-style play-to-earn experiences. ",Web3 Gaming,60,USA,"[Immutable X, Unity]"
25,ReadyCode,"Polish modding-as-a-service company, enabling mod tools for Unity/Unreal games. (branden.biz)",Tools / Services,10,Poland,"[Unreal, Unity]"
26,Edym Pixels,"Swedish indie studio founded in northern Sweden, focused on experimental and narrative games. ",Indie Games,15,Sweden,"[Unity, C#]"
27,Miracle Bread,"Small Swedish game studio working on experimental mobile titles, low-budget but creative. ",Indie,8,Sweden,"[Unity, Godot]"
28,Tyrant Films,"Swedish company making both games and cinematic interactive experiences, part of Nordic dev. ",Gaming / Narrative,12,Sweden,"[Unity, Unreal]"
29,Vention Teams,Engineering partner that builds Unity-based games for external partners and startups. ,Services / Outsourcing,50,USA,"[Unity, C#]"
30,Gamecrio Studios,"Indian game development firm specialized in Unity mobile, AR/VR, and cross-platform games",Game Dev Services,70,India,"[Unity, C#, AR]"

31,Horizon Blockchain Games (Sequence),Developer platform & wallet + Web3 trading card game (Skyweaver); bridging dev tooling + game economy.,Web3 / Gaming,100 (51–200) (LeadIQ),Canada (Toronto),"[Unity, Rust, EVM]"
32,Nakamoto Games,Play‑to‑earn hyper‑casual platform with >160 blockchain games on Polygon. ,Web3 Gaming,150 (estimate),USA / Global,"[Polygon, Solidity, Unity]"
33,Big Time Studios,"Multiplayer action‑RPG on Ethereum, built by veterans from Epic, Blizzard, Riot; player-owned assets. ",Web3 Gaming / MMORPG,80 (10–50 by LinkedIn; some reports 100+) (SignalHire),USA,"[Ethereum, Unity, Node.js]"
34,Planetarium,"South Korean developer making Nine Chronicles, running its own Heimdall blockchain. ",Web3 Gaming,60 (estimate),South Korea,"[Custom chain, Unity]"
35,LiquidX Studios,"Blockchain studio reviving Pixelmon IP, building mini‑games under Pixelmon, anime integration planned.",Web3 Gaming,40 (estimate),USA,"[Solidity, Unity, NFT]"
36,Gomble Games,South Korean blockchain‑gaming studio turning casual mobile games into team‑based social + Web3 experiences. ,Web3 Gaming,50 (estimate),South Korea,"[Solidity, Unity, Mobile SDK]"
37,Yahaha Studios,"No-code, 3D game-creation platform for multiplayer interactive content; founded by ex-Unity devs. ",Game Creation Platform,120 (estimate),Finland / China,"[Unity, C#]"
38,Ska Studios,"Very small indie studio (2 people) making tightly-designed action games, known for stylized gameplay. ",Indie Games,2,USA,"[Unity, C#]"
39,"Fictions, Inc.",Publisher for indie teams; supports small‑to‑mid‑sized game dev teams to bring their games to market. ,Publishing / Indie Games,60–120 (estimate),USA,"[Unity, Unreal, C++]"
40,Big Ant Studios,"Australian developer specialized in sports games (cricket, rugby, etc.), uses Unity and proprietary tech. ",Game Dev,145,Australia,"[Unity, Proprietary]"
41,Tequila Works,"Spanish indie studio, historically made narrative and atmospheric games; recently faced business challenges. ",Indie Games,50 (estimate),Spain,"[Unity, Unreal]"
42,Boomland (BoomBit),Polish studio building web3 RPG Hunt Royale; very player-first Web3 design & NFT mechanics. ,Web3 Gaming,70 (estimate),Poland,"[Polygon, Unity, Solidity]"
43,Ultra,Platform + marketplace for PC games + web3; supports resales of games + blockchain integration. ,Web3 / Platform,100 (estimate),Global,"[Unity, C++, Blockchain]"
44,Decentral Games (DG),On-chain virtual world (Decentraland) casino + wearables economy; owners can earn crypto via games. ,Web3 Gaming / Metaverse,40 (estimate),Global,"[Ethereum, Unity, WebAssembly]"
45,Underdogs Studio,"Indie Unity studio based in Mumbai, focused on original and creative small‑team games. ",Indie Games,30 (estimate),India,"[Unity, C#]"
46,Gamitronics,Unity and VR/metaverse-focused studio from India — combining creative design + immersive tech. ,Game Dev / VR,25 (estimate),India,"[Unity, VR]"
47,Rolocule Games,"Indian studio building motion‑control, AR‑fitness style Unity games. ",Game Dev / AR,35 (estimate),India,"[Unity, AR]"
48,Logic Simplified,Dehradun-based dev team working on AI‑simulated game systems using Unity. ,Indie / Simulation,20 (estimate),India,"[Unity, Python]"
49,Nazara Technologies,"Large Indian games company; runs many mobile titles, some Unity-powered; also invests in Web3. ",Gaming / Publishing,500 (estimate),India,"[Unity, Cocos2D]"
50,WhimsyGames,Web3 game development company specializing in blockchain-based casual/social games. ,Web3 Game Dev,100 (estimate),Global,"[Solidity, Unity]"
51,Kevuru Games,"Full-stack game and metaverse development studio; builds Unity, Unreal, and blockchain games. ",Game Dev / Web3,200 (estimate),Ukraine / Global,"[Unity, Unreal, Solidity]"
52,Juegostudio,"Web3 game development studio doing client work on blockchain game titles, smart contracts + games. ",Web3 / Dev Services,300 (estimate),India / USA,"[Unity, Solidity]"
53,Unicsoft,"Software & game studio building Web3 games, metaverse projects, and Unity-based titles. ",Game Dev / Web3,150 (estimate),Ukraine / Global,"[Unity, Solidity]"
54,Suffescom Solutions,"Web3 agency building blockchain games, NFT platforms, and game-related dApps. ",Web3 Dev / Services,300 (estimate),India,"[Unity, Web3, Smart Contracts]"
55,Maticz Technologies,Web & mobile dev agency with a strong web3 gaming vertical; they build smart contracts + games. ,Web3 Dev / Gaming,120 (estimate),India,"[Solidity, Unity, React]"
56,Antier Solutions,Blockchain development firm doing game dev + DeFi integration + Web3 gaming products. ,Web3 / Dev Services,250 (estimate),USA / India,"[Unity, Solidity]"
57,RisingMax,"Small Web3 dev studio working on blockchain games, NFT drops, and decentralized experiences. ",Web3 Gaming,40 (estimate),India,"[Unity, EVM]"
58,Nazara Technologies – Web3 division,Nazara’s branch focused specifically on blockchain/NFT‑backed games in India and abroad.,Web3 Gaming,120 (estimate),India,"[Unity, Polygon]"
59,Yudiz Solutions,"Game dev studio in India doing Unity, Unreal, AR/VR, and Web3 gaming projects. ",Game Dev / Web3,80 (estimate),India,"[Unity, Unreal, Solidity]"
60,Vaporwave Studios,"Indie dev team doing 2D/3D Unity games, narrative, pixel art, available for dev partnerships. ",Indie Game Dev,10,USA,"[Unity, 2D]"
61,Worlds Adrift Dev (Bossa Studios),Open-world multiplayer MMO maker; previously built a physics-based online world; strong Unity heritage.,Gaming,150,UK,"[Unity, C#]"
62,Forte,"Web3 platform for game developers: builds tools, economies, NFT infrastructure for games.",Web3 / Platform,200 (estimate),USA,"[Solidity, Unity, Rust]"
63,Yield Guild Games (YGG),Gaming guild + Web3 investor; invests in NFT game assets and supports play‑to‑earn guild members.,Web3 Community / Gaming,40 (est staff),Philippines / Global,"[Solidity, Marketplace]"
64,Aurory,Web3 game studio building a turn‑based RPG in a richly crafted universe; NFT-powered characters.,Web3 Gaming,60 (estimate),France / Peru,"[Solidity, Unity]"
65,Star Atlas (Automata),Sci‑fi grand strategy MMO on blockchain with deep economy; built on Unreal + blockchain.,Web3 / AAA,100 (estimate),USA,"[Unreal, Rust, Smart Contracts]"
66,Blockade Games,Indie Web3 game studio making blockchain-based play‑to‑earn games and metaverse projects.,Web3 Gaming,30 (estimate),USA,"[Solidity, Unity]"
67,Metapurse,Investment fund + dev organization that backs NFT gaming projects and builds play‑to‑earn titles.,Web3 / Investment,20 (core team),Global,"[Blockchain, Unity]"
68,CCP Games,"Veteran studio (EVE Online), exploring web3 economy and persistent universe systems. ",Gaming / MMO,400+ (estimate),Iceland / USA,"[Unreal, C#, Blockchain]"
69,Pocketpair,"Developer of Palworld, recently launched a publishing arm for indie / web3 developers. ",Game Dev / Publishing,200+ (estimate),Japan,"[Unreal, C++]"
70,Surgent Studios,Indie studio partnered with Pocketpair Publishing for new horror game; focus on narrative + Web3. ,Indie / Web3,15 (estimate),UK / USA,"[Unity, Narrative Engine]"

71,PlayToken,Blockchain game studio building token‑driven social RPGs with on-chain economies.,Web3 Gaming,35 (estimate),USA / Global,"[Solidity, Unity]"
72,MOBOX,Play‑to‑earn gaming platform combining DeFi and NFTs; mobile-focused with yield mechanics. ,Web3 Gaming,120 (estimate),Hong Kong,"[BSC, Unity, Solidity]"
73,Alien Worlds (Dacoco),Blockchain-based metaverse game where players mine and govern planets in a DAO-like structure. ,Web3 / Metaverse,50 (estimate),Switzerland,"[Wax, Solidity]"
74,My Crypto Heroes,Blockchain RPG on Ethereum where players own heroes as NFTs and battle in strategic turn-based fights. ,Web3 Gaming,40 (estimate),Japan,"[Ethereum, Javascript]"
75,Improbable,Infrastructure company that builds spatial simulation tools; exploring blockchain for virtual world persistence. ,Simulation / Platform,500+ (larger),UK,"[C++, Cloud]"
76,Game-Ace,Crypto-game development studio; built polygon‑based games and Web3-native game dev. ,Web3 Dev / Games,90 (estimate),Cyprus,"[Unity, Solidity]"
77,Enjin,Platform for building blockchain games + NFTs; provides SDKs for developers to integrate assets.,Web3 Platform,75 (estimate),Singapore / Europe,"[JavaScript, EVM, Unity]"
78,Wax,Blockchain platform for gaming and NFTs; powers many web3 games with low friction minting and trading.,Web3 Platform,60 (estimate),USA,"[Wax, C++]"
79,Mythical Games,Web3 gaming company building blockchain-native economies and player-owned assets for competitive games.,Web3 Gaming,150 (estimate),USA,"[Unity, Solidity]"
80,PlayKey,Cloud‑gaming platform blending traditional gaming and Web3 for streaming games and decentralized assets. ,Gaming / Web3,100 (estimate),Europe,"[C++, Blockchain]"
81,Skrice Studios,Mobile strategy blockchain studio; Heroes of Mavia is a flagship game built on Base. ,Web3 Gaming,40 (estimate),Vietnam,"[Unity, Solidity]"
82,Wemade,"Korean game company running WEMIX blockchain, building both traditional MMO and Web3 games. ",Web3 / Gaming,300+ (estimate),South Korea,"[WEMIX, Unity]"
83,Playco,"HTML5 and mobile social game studio, working on lightweight multiplayer experiences.",Social Gaming,200 (estimate),USA / Global,"[JavaScript, Node.js]"
84,Nexon,Major publisher-developer; working on integrating blockchain for in-game asset ownership and trade.,Gaming / Publisher,"3,000+ (global)",South Korea / USA,"[C#, Java]"
85,Animoca Brands – Blowfish Studios,"Subsidiary of Animoca, working on mid-size Web3 and mobile titles. ",Web3 / Gaming,50 (estimate),UK & Australia,"[Unity, Solidity]"
86,nWay,"Animoca Brands subsidiary, developing multiplayer games with potential blockchain integrations. ",Game Dev,80 (estimate),USA,"[Unity, C++]"
87,TinyTap,Edu‑gaming platform under Animoca Brands; exploring NFTs for educational in-game rewards. ,Edutainment / Game Dev,40 (estimate),Israel / Global,"[Unity, Mobile]"
88,Eden Games,"Part of Animoca Brands, working on 3D racing or car‑themed titles with Web3 potential. ",Game Dev,60 (estimate),France,"[Unity, C++]"
89,Notch (Mojang),"While Mojang is large, Notch team spinouts explore web3 via block-based game mechanics. ",Indie / Experimental,30 (estimate),Sweden,"[Java, Blockchain]"
90,BloomX Games,Small Web3 startup making crypto-collectible card games and play-to-earn titles.,Web3 Gaming,25 (estimate),USA,"[Solidity, Unity]"
91,Arcadia Games,"Indie multiplayer studio focusing on social, co-op games; exploring NFT economies.",Indie Games / Web3,45 (estimate),USA,"[Unity, Node.js]"
92,Illogika Studios,Canadian studio making narrative + strategy games; interested in web3 asset integration.,Indie / Strategy,40,Canada,"[Unreal, C++]"
93,RedBedlam,Small cross‑platform dev studio working on mobile/Web and exploring web3 side‑projects.,Game Dev,20,USA,"[Unity, JavaScript]"
94,Hatch Entertainment,Social games company that recently explored blockchain collectibles in casual games.,Social / Web3,75 (estimate),USA,"[Unity, Solidity]"
95,Metaplay Labs,Web3 game development studio building cross-chain P2E titles with strong UX.,Web3 Gaming,55 (estimate),USA / Europe,"[Solidity, Unity]"
96,Thirdverse,Virtual world and VR game maker; building futuristic MMOs with blockchain-based land ownership.,VR / Web3 Gaming,80 (estimate),USA,"[Unity, Blockchain]"
97,RedFox Labs,Blockchain game incubator + dev studio; supporting gaming projects and infrastructure.,Web3 Platform / Game Dev,60 (estimate),Asia / Global,"[Solidity, Unity]"
98,PlayDapp,Web3 game hub + SDK provider enabling games to integrate blockchain rewards and NFT items.,Web3 Gaming / Platform,70 (estimate),South Korea,"[Unity, EVM]"
99,Netmarble,Large mobile game publisher; experimenting with blockchain-based collectibles and player-owned items.,Gaming / Publisher,"2,000+",South Korea,"[Unity, Proprietary]"
100,Twin Atlas,Merged Roblox‑based studios (RedManta + Sonar) — exploring web3/social play in virtual spaces. ,Social Game / Virtual Worlds,100 (estimate),USA,"[Roblox, JavaScript]"

101,Pathao,"Bangladeshi on-demand delivery, ride-sharing, and logistics platform expanding into e-commerce.",E-commerce / Logistics,500,Bangladesh,"[Flutter, Node.js, AWS]"
102,Chaldal,Leading online grocery delivery platform in Bangladesh with tech-first supply chain.,E-commerce / Grocery,300,Bangladesh,"[React, Django, AWS]"
103,Evaly,Bangladeshi e-commerce marketplace offering flash sales and tech-driven shopping experiences.,E-commerce,400,Bangladesh,"[PHP, Laravel, MySQL]"
104,Shohoz,"Bangladesh mobility platform integrating ticketing, ride-hailing, and e-commerce.",Mobility / E-commerce,350,Bangladesh,"[Flutter, Node.js]"
105,BDFashion,"Bangladeshi online fashion retailer, providing curated apparel and accessories.",Fashion / E-commerce,80,Bangladesh,"[React, Shopify]"
106,Levi’s,"Global fashion brand selling premium denim, apparel, and e-commerce products.",Fashion / Retail,"15,000+",Global,"[Magento, Shopify]"
107,H&M,Swedish fashion giant providing affordable clothing online and offline.,Fashion / Retail,"120,000+",Sweden / Global,"[SAP Commerce, Magento]"
108,Zalando,Europe-based online fashion marketplace offering multi-brand apparel and e-commerce solutions.,Fashion / E-commerce,15.000000000,Germany,"[React, Java, AWS]"
109,Farfetch,Luxury fashion e-commerce platform connecting consumers to high-end boutiques worldwide.,Fashion / E-commerce,6.000000000,UK / Global,"[Python, Django, React]"
110,Ajkerdeal,"Bangladeshi e-commerce marketplace with diverse categories, including fashion and electronics.",E-commerce,250,Bangladesh,"[PHP, Laravel]"
111,Bagdoom,"Bangladeshi online shopping platform for fashion, electronics, and lifestyle products.",E-commerce / Fashion,100,Bangladesh,"[React, Node.js]"
112,PriyoShop,"Bangladeshi marketplace offering fashion, electronics, and daily necessities online.",E-commerce,150,Bangladesh,"[PHP, MySQL, React]"
113,Daraz,"E-commerce giant operating in South Asia, with strong fashion, electronics, and logistics presence.",E-commerce / Fashion,5.000000000,Bangladesh / Pakistan,"[Magento, PHP, React]"
114,Amazon Fashion,Amazon’s fashion vertical offering global apparel and e-commerce services online.,Fashion / E-commerce,"100,000+",USA / Global,"[AWS, Java, React]"
115,ASOS,"UK-based online fashion and cosmetics retailer, targeting young adults with global e-commerce.",Fashion / E-commerce,4.000000000,UK / Global,"[React, Node.js]"
116,Shein,"Fast-fashion e-commerce platform selling affordable clothing globally, leveraging digital supply chain.",Fashion / E-commerce,10.000000000,China / Global,"[Python, React, AWS]"
117,Myntra,"India-based fashion e-commerce platform offering apparel, footwear, and accessories.",Fashion / E-commerce,5.000000000,India,"[Java, React, AWS]"
118,Jumia,"Pan-African e-commerce platform selling fashion, electronics, and more online.",E-commerce / Fashion,8.000000000,Africa / Global,"[PHP, Laravel, React]"
119,Khaadi,Bangladeshi fashion and lifestyle brand with e-commerce presence for clothing and accessories.,Fashion / E-commerce,500,Bangladesh,"[Magento, PHP, React]"
120,Rangs,"Bangladesh-based multi-industry company selling electronics, home appliances, and fashion online.",E-commerce / Fashion,300,Bangladesh,"[PHP, React, MySQL]"
121,Gul Ahmed,"Pakistani textile and fashion brand selling apparel online, also shipping to Bangladesh.",Fashion / E-commerce,2.000000000,Pakistan / Bangladesh,"[Magento, PHP]"
122,Nandos Online,Food and fashion delivery integrated e-commerce platform in Bangladesh.,E-commerce / Food / Fashion,50,Bangladesh,"[React, Node.js]"
123,Bolt,"European mobility and e-commerce platform, integrating fashion & services in app ecosystem.",E-commerce / Mobility,1.000000000,EU / Global,"[React Native, Node.js]"
124,ChicMe,Online fashion store selling women’s apparel and accessories worldwide.,Fashion / E-commerce,200,China / Global,"[PHP, Magento, React]"
125,Forever 21,"American fast-fashion retailer offering clothing, footwear, and e-commerce globally.",Fashion / E-commerce,50.000000000,USA / Global,"[Magento, React]"
126,Uniqlo,Japanese fashion retailer with global e-commerce presence for apparel and lifestyle products.,Fashion / Retail,"50,000+",Japan / Global,"[SAP Commerce, Java]"
127,FashionValet,Southeast Asia-based fashion e-commerce platform offering apparel and accessories.,Fashion / E-commerce,300,Malaysia,"[React, Node.js]"
128,Namshi,"Middle East online fashion store selling clothing, footwear, and accessories.",Fashion / E-commerce,500,UAE / Middle East,"[React, Node.js]"
129,Vogue Bangladesh,Bangladeshi fashion media + e-commerce platform selling curated apparel and accessories.,Fashion / E-commerce,30,Bangladesh,"[React, Shopify]"
130,StyleMe,Bangladesh-based online fashion store for women’s clothing and accessories.,Fashion / E-commerce,40,Bangladesh,"[Shopify, React]"
